km_ruta,log_km,vel_max,vel_prom,t_est_min,hora_inicio,dia_semana_num,es_fin_semana,mes,n_paradas,densidad_paradas,ruta_Cibao-Norte,ruta_Cibao-Sur,ruta_Este-Turístico,ruta_La-Romana,ruta_Nordeste,ruta_Norte,ruta_Otras,ruta_SD-Centro,ruta_SD-Este,ruta_SD-Norte,ruta_SD-Oeste,ruta_Santiago,ruta_Sur,franja_horaria_NOCHE,franja_horaria_TARDE
5.808434,1.918162138,72,31.7,27,8,4,0,2,1,0.1722,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.949454,2.073103247,50,17.4,28,8,0,0,12,1,0.1439,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.453894,2.968047256,63,21.3,60,10,3,0,3,1,0.0542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.675052,4.571355375,85,46.7,137,8,2,0,10,1,0.0105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.590403,2.026884686,56,20.8,38,8,2,0,7,1,0.1517,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201.86261,5.312528952,90,65.5,167,2,1,0,2,1,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124.47168,4.832080076,93,61.7,132,6,4,0,9,1,0.008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184.714979,5.224213127,88,52.5,28,13,6,1,11,1,0.0054,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27.037083,3.333528027,74,31.2,28,13,4,0,1,1,0.037,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9.542362,2.355401617,60,13.6,67,7,1,0,8,1,0.1048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13.14872,2.649624161,68,32.9,45,6,3,0,5,1,0.0761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10.637391,2.454223276,43,16.8,25,9,2,0,5,1,0.094,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
183.317138,5.21665785,118,60.1,133,7,0,0,2,1,0.0055,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201.974548,5.313080592,93,66.6,150,1,2,0,2,1,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27.575133,3.352536864,79,36.8,27,13,0,0,1,1,0.0363,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
224.244122,5.417184801,111,69.4,160,3,3,0,10,1,0.0045,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.411866,2.241971234,76,25.2,74,13,5,1,5,1,0.1189,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5.933388,1.936348583,62,22.3,35,9,1,0,5,1,0.1685,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
194.89306,5.277568898,92,67.6,153,6,4,0,2,1,0.0051,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63.212071,4.162191215,118,62.2,158,8,1,0,8,1,0.0158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.948375,2.887499582,86,42.4,37,10,2,0,6,1,0.059,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17.455319,2.915352622,80,36.1,32,14,2,0,8,1,0.0573,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
201.802289,5.312231559,92,66.2,167,2,1,0,3,1,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.56209,2.357271175,62,17.4,35,6,3,0,12,1,0.1046,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52.83532,3.985929757,95,32.3,38,13,0,0,5,1,0.0189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24.835338,3.251743245,54,25.7,58,20,2,0,8,1,0.0403,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5.842959,1.92322024,53,19.5,27,8,0,0,10,1,0.1711,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27.109241,3.336098383,57,19.4,79,10,5,1,2,1,0.0369,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.81883,2.176889208,35,14.2,42,19,1,0,7,1,0.1279,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32.065689,3.498496159,91,43.7,56,6,2,0,4,1,0.0312,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10.589703,2.450117031,63,25.4,29,11,5,1,5,1,0.0944,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.529164,3.114810648,92,41.7,25,5,0,0,6,1,0.0464,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.409643,2.667897635,71,27.7,32,6,3,0,10,1,0.0746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.12405,3.050412202,71,31.8,56,13,4,0,8,1,0.0497,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9.348443,2.336836074,63,20.8,20,21,4,0,4,1,0.107,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
171.587705,5.150905542,92,56.6,165,6,2,0,4,1,0.0058,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.895926,2.827072528,41,22.2,42,18,1,0,5,1,0.0629,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12.967576,2.636738644,60,25.9,41,13,1,0,5,1,0.0771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
228.776632,5.437107672,91,52.6,112,7,5,1,12,1,0.0044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66.780976,4.216281566,81,38.2,117,13,3,0,1,1,0.015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
197.00516,5.288293091,87,55.2,166,1,6,1,12,1,0.0051,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128.410781,4.862991694,84,57.9,125,2,4,0,9,1,0.0078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
231.022314,5.446833548,97,64.5,219,1,3,0,10,1,0.0043,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19.610345,3.025793134,74,42.0,103,11,0,0,7,1,0.051,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
208.276238,5.343655092,99,63.8,136,3,5,1,7,1,0.0048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166.598352,5.121570355,100,62.1,133,2,4,0,7,1,0.006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13.135014,2.648654982,89,46.4,28,6,5,1,11,1,0.0761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199.235965,5.299496496,92,71.6,148,1,5,1,10,1,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11.474498,2.5236864,65,25.5,27,19,5,1,11,1,0.0871,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10.982643,2.483459186,57,12.9,57,17,0,0,3,1,0.0911,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11.999544,2.56491428,59,20.6,27,18,6,1,12,1,0.0833,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
25.582869,3.280266986,49,26.5,58,21,1,0,9,1,0.0391,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
16.510846,2.86282046,91,45.0,32,5,4,0,8,1,0.0606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11.518977,2.527245653,69,23.0,28,18,6,1,2,1,0.0868,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12.567651,2.607688356,65,31.4,83,12,4,0,11,1,0.0796,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16.740893,2.875872314,51,18.6,45,15,2,0,5,1,0.0597,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22.790169,3.169272428,90,57.0,82,9,4,0,2,1,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.647132,2.53743047,55,25.0,27,20,3,0,10,1,0.0859,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
207.983972,5.34225756,106,72.6,147,1,5,1,10,1,0.0048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50.930537,3.949906999,87,44.9,58,6,3,0,5,1,0.0196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197.484122,5.290709107,82,51.5,142,1,6,1,11,1,0.0051,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201.244673,5.309478217,124,74.1,153,1,4,0,1,1,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.505657,2.442838827,61,17.0,32,6,4,0,3,1,0.0952,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83.319432,4.434612349,86,55.5,88,3,2,0,12,1,0.012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11.635396,2.536502082,75,23.3,45,14,1,0,12,1,0.0859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
